country,outlet_name,n_articles,avg_gdelt_tone,avg_bert_positive,avg_bert_neutral,avg_bert_negative,pct_positive,pct_neutral,pct_negative
AlJazeera,Al-Jazeera English,329,,0.064,0.229,0.707,0.0,5.167,94.833
Argentina,Infobae,14,,0.11,0.314,0.577,0.0,14.286,85.714
Argentina,Clarín,11,,0.051,0.325,0.623,0.0,9.091,90.909
Argentina,La Nación,5,,0.065,0.274,0.661,0.0,20.0,80.0
Brazil,Estadão,3,,0.053,0.435,0.512,0.0,66.667,33.333
Brazil,Veja,1,,0.116,0.422,0.462,0.0,0.0,100.0
Canada,Globe and Mail,128,,0.078,0.263,0.659,0.781,10.938,88.281
France,BFM TV,156,,0.103,0.152,0.745,2.564,1.282,96.154
France,Le Parisien,104,,0.115,0.182,0.704,4.808,7.692,87.5
France,Le Figaro,2,,0.038,0.119,0.843,0.0,0.0,100.0
Germany,Die Zeit,55,,0.057,0.404,0.54,0.0,34.545,65.455
Germany,Süddeutsche Zeitung,31,,0.052,0.431,0.517,0.0,41.935,58.065
Germany,Bild,21,,0.061,0.398,0.541,0.0,33.333,66.667
Germany,Der Spiegel,17,,0.047,0.428,0.525,0.0,47.059,52.941
Germany,FAZ,2,,0.034,0.206,0.76,0.0,0.0,100.0
Israel,Jerusalem Post,400,,0.102,0.252,0.646,4.5,11.75,83.75
Israel,Ynet News,299,,0.11,0.301,0.588,4.013,19.732,76.254
Israel,Israel National News,103,,0.094,0.207,0.699,2.913,9.709,87.379
Israel,Haaretz,15,,0.097,0.349,0.553,0.0,33.333,66.667
Italy,Corriere della Sera,83,,0.064,0.147,0.789,0.0,2.41,97.59
Italy,ANSA,65,,0.132,0.215,0.654,4.615,3.077,92.308
Italy,La Stampa,34,,0.076,0.225,0.699,0.0,5.882,94.118
Italy,La Repubblica,28,,0.096,0.252,0.652,0.0,7.143,92.857
Italy,Il Sole 24 Ore,22,,0.095,0.229,0.675,0.0,18.182,81.818
Spain,El Confidencial,9,,0.16,0.229,0.611,11.111,0.0,88.889
Spain,El País,6,,0.047,0.242,0.71,0.0,16.667,83.333
Spain,El Mundo,4,,0.041,0.119,0.84,0.0,0.0,100.0
Spain,ABC,3,,0.054,0.178,0.769,0.0,0.0,100.0
Spain,La Vanguardia,2,,0.046,0.151,0.803,0.0,0.0,100.0
UK,Daily Mail,370,,0.069,0.217,0.714,0.811,5.135,94.054
UK,The Independent,318,,0.072,0.245,0.683,0.943,10.377,88.679
UK,The Guardian,252,,0.061,0.196,0.743,0.397,2.381,97.222
UK,BBC News,33,,0.054,0.198,0.747,0.0,3.03,96.97
USA,CNN,216,,0.063,0.238,0.699,0.0,6.944,93.056
USA,Fox News,111,,0.083,0.191,0.726,1.802,2.703,95.495
USA,New York Times,6,,0.05,0.163,0.787,0.0,0.0,100.0
